horizon,model,oo_s,year,n,hit_rate,corr
24,GBoost,2022-05-01,2022,1464,0.5006830601092896,-0.08448424808157304
24,RandForest,2022-05-01,2022,1464,0.5122950819672131,0.04923783986186042
48,LogReg,2022-05-01,2022,1464,0.549863387978142,0.05199616343182322
48,GBoost,2022-05-01,2022,1464,0.51775956284153,-0.14923176528968013
48,RandForest,2022-05-01,2022,1464,0.5840163934426229,0.04905168333882213
72,LogReg,2022-05-01,2022,1464,0.5512295081967213,0.07773679130872108
72,GBoost,2022-05-01,2022,1464,0.4774590163934426,0.02840062558299058
72,RandForest,2022-05-01,2022,1464,0.5676229508196722,0.09429586073792755
1,LogReg,2022-07-01,2022,1488,0.5383064516129032,0.0944611269639931
1,GBoost,2022-07-01,2022,1488,0.553763440860215,0.10561673223241251
1,RandForest,2022-07-01,2022,1488,0.5551075268817204,0.10066299964589052
2,LogReg,2022-07-01,2022,1488,0.5288978494623656,0.10019482456767206
2,GBoost,2022-07-01,2022,1488,0.5497311827956989,0.0981990279391327
2,RandForest,2022-07-01,2022,1488,0.540994623655914,0.09966119832998559
4,LogReg,2022-07-01,2022,1488,0.5470430107526881,0.1150434736660741
4,GBoost,2022-07-01,2022,1488,0.5450268817204301,0.10841111053119198
4,RandForest,2022-07-01,2022,1488,0.5443548387096774,0.10487017096055001
8,LogReg,2022-07-01,2022,1488,0.5604838709677419,0.14175832768719482
8,GBoost,2022-07-01,2022,1488,0.5248655913978495,0.07818924609501521
8,RandForest,2022-07-01,2022,1488,0.5181451612903226,0.10110638019018396
16,LogReg,2022-07-01,2022,1488,0.5772849462365591,0.15776602415855712
16,GBoost,2022-07-01,2022,1488,0.5793010752688172,0.14164814174182933
16,RandForest,2022-07-01,2022,1488,0.5672043010752689,0.12930078634919248
24,LogReg,2022-07-01,2022,1488,0.5571236559139785,0.10441914147919248
24,GBoost,2022-07-01,2022,1488,0.5463709677419355,0.1297434384762954
