horizon,model,oo_s,year,n,hit_rate,corr
4,GBoost,2026-03-01,2026,1464,0.49453551912568305,-0.01934644986961128
16,LogReg,2020-07-01,2020,1488,0.5544354838709677,0.036909143339605786
16,GBoost,2020-07-01,2020,1488,0.5456989247311828,-0.008974951221331557
16,LogReg,2020-09-01,2020,1464,0.569672131147541,0.10111178891041894
16,GBoost,2020-09-01,2020,1464,0.5717213114754098,0.07425254153740757
16,LogReg,2020-11-01,2020,1464,0.5416666666666666,-0.04630185659286128
16,GBoost,2020-11-01,2020,1464,0.5116120218579235,-0.014272124657656994
16,LogReg,2021-01-01,2021,1416,0.5692090395480226,0.04658759825275335
16,GBoost,2021-01-01,2021,1416,0.5720338983050848,0.10488096421239414
16,LogReg,2021-03-01,2021,1464,0.5491803278688525,0.04246791090433621
16,GBoost,2021-03-01,2021,1464,0.5389344262295082,0.028816588475856667
16,LogReg,2021-05-01,2021,1464,0.45901639344262296,0.04044794446273496
16,GBoost,2021-05-01,2021,1464,0.45969945355191255,0.03784539693110493
16,LogReg,2021-07-01,2021,1488,0.5248655913978495,0.03323386331061966
16,GBoost,2021-07-01,2021,1488,0.5235215053763441,0.0559116729744808
16,LogReg,2021-09-01,2021,1464,0.4993169398907104,0.023685915656422935
16,GBoost,2021-09-01,2021,1464,0.46653005464480873,-0.04956696918628252
16,LogReg,2021-11-01,2021,1464,0.5546448087431693,0.09990223452890792
16,GBoost,2021-11-01,2021,1464,0.5505464480874317,0.08599087748469914
16,LogReg,2022-01-01,2022,1416,0.5254237288135594,0.06141547998132841
16,GBoost,2022-01-01,2022,1416,0.5169491525423728,0.02979406078544713
16,LogReg,2022-03-01,2022,1464,0.5157103825136612,0.037496761805980196
16,GBoost,2022-03-01,2022,1464,0.5218579234972678,0.041819896562137145
16,LogReg,2022-05-01,2022,1464,0.5266393442622951,0.032711939440775134
16,GBoost,2022-05-01,2022,1464,0.5136612021857924,0.030304951240263722
16,LogReg,2022-07-01,2022,1488,0.5295698924731183,0.09056926197867672
16,GBoost,2022-07-01,2022,1488,0.519489247311828,0.04752203610798667
16,LogReg,2022-09-01,2022,1464,0.5075136612021858,0.02126386121868034
16,GBoost,2022-09-01,2022,1464,0.5191256830601093,0.017260741947223268
16,LogReg,2022-11-01,2022,1464,0.523224043715847,0.06307890014260091
16,GBoost,2022-11-01,2022,1464,0.5478142076502732,0.09778548072831947
16,LogReg,2023-01-01,2023,1416,0.4992937853107345,0.07128392529930708
16,GBoost,2023-01-01,2023,1416,0.528954802259887,0.09922247545822346
16,LogReg,2023-03-01,2023,1464,0.5150273224043715,0.0728148977609304
16,GBoost,2023-03-01,2023,1464,0.5163934426229508,0.026425710382481267
16,LogReg,2023-05-01,2023,1464,0.5546448087431693,0.09585561552180522
16,GBoost,2023-05-01,2023,1464,0.5416666666666666,0.12724054234427398
16,LogReg,2023-07-01,2023,1488,0.5477150537634409,0.20158387124347196
16,GBoost,2023-07-01,2023,1488,0.540994623655914,0.13240699849889995
16,LogReg,2023-09-01,2023,1464,0.48770491803278687,-0.01085545704592575
16,GBoost,2023-09-01,2023,1464,0.4726775956284153,-0.052275506703949315
16,LogReg,2023-11-01,2023,1464,0.5225409836065574,0.02584539922161909
16,GBoost,2023-11-01,2023,1464,0.5423497267759563,0.0881538379538713
16,LogReg,2024-01-01,2024,1440,0.5263888888888889,0.033428188844589854
16,GBoost,2024-01-01,2024,1440,0.5125,0.015492520103355225
16,LogReg,2024-03-01,2024,1464,0.5034153005464481,0.005659337871916009
16,GBoost,2024-03-01,2024,1464,0.5450819672131147,0.08052065094261265
16,LogReg,2024-05-01,2024,1464,0.5580601092896175,0.10594168125085068
16,GBoost,2024-05-01,2024,1464,0.5430327868852459,0.08538209676859981
16,LogReg,2024-07-01,2024,1488,0.5221774193548387,-0.0053408503948293735
16,GBoost,2024-07-01,2024,1488,0.4831989247311828,-0.06054407356401035
16,LogReg,2024-09-01,2024,1464,0.49453551912568305,-0.018947336229030175
16,GBoost,2024-09-01,2024,1464,0.5259562841530054,0.07188950012430725
16,LogReg,2024-11-01,2024,1464,0.5170765027322405,-0.03792775305044568
16,GBoost,2024-11-01,2024,1464,0.4952185792349727,-0.01697894759174152
16,LogReg,2025-01-01,2025,1416,0.5282485875706214,0.09344816503660064
16,GBoost,2025-01-01,2025,1416,0.5211864406779662,0.05899078193544885
16,LogReg,2025-03-01,2025,1464,0.4979508196721312,-0.028762348511338475
16,GBoost,2025-03-01,2025,1464,0.5184426229508197,0.07774633967003854
16,LogReg,2025-05-01,2025,1464,0.5327868852459017,0.12097750750890644
16,GBoost,2025-05-01,2025,1464,0.5122950819672131,0.020657459332179356
16,LogReg,2025-07-01,2025,1488,0.4603494623655914,-0.0732061112214799
16,GBoost,2025-07-01,2025,1488,0.519489247311828,0.07265299438878521
16,LogReg,2025-09-01,2025,1464,0.5006830601092896,0.012571841122652114
16,GBoost,2025-09-01,2025,1464,0.5204918032786885,0.05817599393486581
16,LogReg,2025-11-01,2025,1464,0.5218579234972678,0.0682171106861039
16,GBoost,2025-11-01,2025,1464,0.5280054644808743,0.07625078278034385
16,LogReg,2026-01-01,2026,1416,0.4872881355932203,-0.013895922749140054
16,GBoost,2026-01-01,2026,1416,0.490819209039548,0.010903535713317857
16,LogReg,2026-03-01,2026,1464,0.47540983606557374,-0.07733215018024582
16,GBoost,2026-03-01,2026,1464,0.476775956284153,-0.03491654600089084
24,LogReg,2020-07-01,2020,1488,0.616263440860215,0.16962232571161606
24,GBoost,2020-07-01,2020,1488,0.5745967741935484,0.066875508830797
