anchor,ts,year,fc_ret_4h,real_ret_4h,in_band_4h,fc_ret_16h,real_ret_16h,in_band_16h,fc_ret_24h,real_ret_24h,in_band_24h,fc_ret_48h,real_ret_48h,in_band_48h
55396,2026-04-27 03:00:00,2026,0.005099034641611766,-0.01926228199235247,0.0,0.008469319675791454,-0.028488965652872622,0.0,0.010328984592783641,-0.029449809394405335,0.0,0.01902172598682661,-0.02704163214100852,0.0
55400,2026-04-27 07:00:00,2026,0.0033175391681439237,0.0031874178156297006,1.0,0.008507434798026736,-0.0029117853534721405,1.0,0.010706607771659549,-0.009434918300064155,1.0,0.01577443308904236,-0.007154510478939002,1.0
55404,2026-04-27 11:00:00,2026,0.003848497512182192,-0.013513028440399921,0.0,0.007342760207494692,-0.013374945217682566,0.0,0.009468500258764223,-0.02085098504279692,0.0,0.014961664321264223,-0.0032415732106816364,1.0
55408,2026-04-27 15:00:00,2026,0.0029009622929141443,0.0010989269642500687,1.0,0.007748488843207113,0.0008906923247060661,1.0,0.010392074048285238,-0.009584608264143313,1.0,0.015170936047796957,-0.011410607063995215,1.0
55412,2026-04-27 19:00:00,2026,0.0031057081191914193,0.006314898307048011,1.0,0.0069480619399922006,-0.008436883566647069,1.0,0.009195872303761732,-0.007193542754743376,1.0,0.013682909962453138,-0.017404938751898413,1.0
55416,2026-04-27 23:00:00,2026,0.001803322019174658,-0.0072757420485807245,1.0,0.005157394589975439,-0.016998433535441393,0.0,0.008272094907358252,-0.013449460134239644,1.0,0.011888427915170752,-0.0206603721542038,1.0
55420,2026-04-28 03:00:00,2026,0.00230988376990382,0.0007526091019887104,1.0,0.00623902195349757,-0.006232699013210663,1.0,0.008773888286505382,0.002408177253396815,1.0,0.012114609416876476,-0.011640934401604852,1.0
55424,2026-04-28 07:00:00,2026,0.002936287729438547,-0.008228648927103066,0.0,0.0061539848729932345,-0.0069263271876476296,1.0,0.0064629753515088595,0.002280407821125152,1.0,0.010024948923286203,-0.009133271689572453,1.0
55428,2026-04-28 11:00:00,2026,0.0020039411731431755,-0.002246651661746313,1.0,0.006784710521287707,0.00988421707851117,1.0,0.008011135692186144,0.017609411832115285,1.0,0.010897907847947863,-0.0021795731858240686,1.0
55432,2026-04-28 15:00:00,2026,0.0011425682377215196,0.0034899924736500054,1.0,0.004809445984303551,0.012755708409974531,1.0,0.006458348877369957,-0.0018259987998519023,1.0,0.009967870361744957,0.005184635111945113,1.0
