horizon,model,oo_s,year,n,hit_rate,corr
16,LogReg,2021-03-01,2021,1464,0.575136612021858,0.13537425614517734
16,GBoost,2021-03-01,2021,1464,0.5642076502732241,0.09951008744275526
24,LogReg,2021-03-01,2021,1464,0.5614754098360656,0.07363815570877458
24,GBoost,2021-03-01,2021,1464,0.549863387978142,0.12247153116006321
48,LogReg,2021-03-01,2021,1464,0.5594262295081968,0.1363445270933877
48,GBoost,2021-03-01,2021,1464,0.5806010928961749,0.14650923844429123
4,LogReg,2021-05-01,2021,1464,0.5252732240437158,0.10035248673298414
4,GBoost,2021-05-01,2021,1464,0.5013661202185792,0.06410403318887072
16,LogReg,2021-05-01,2021,1464,0.4993169398907104,0.10808656931458073
16,GBoost,2021-05-01,2021,1464,0.5191256830601093,0.08249715136952225
24,LogReg,2021-05-01,2021,1464,0.505464480874317,0.10788086094344677
24,GBoost,2021-05-01,2021,1464,0.5471311475409836,0.15833363458947378
48,LogReg,2021-05-01,2021,1464,0.4931693989071038,0.17144700349406528
48,GBoost,2021-05-01,2021,1464,0.3831967213114754,-0.09823935593380888
4,LogReg,2021-07-01,2021,1488,0.5450268817204301,0.11350563188467465
4,GBoost,2021-07-01,2021,1488,0.5530913978494624,0.11392305332471674
16,LogReg,2021-07-01,2021,1488,0.5658602150537635,0.17262734159619425
16,GBoost,2021-07-01,2021,1488,0.5362903225806451,0.09062155733694059
24,LogReg,2021-07-01,2021,1488,0.5833333333333334,0.1932359366937471
24,GBoost,2021-07-01,2021,1488,0.5228494623655914,0.04309960282292736
48,LogReg,2021-07-01,2021,1488,0.5880376344086021,0.21715180453409902
48,GBoost,2021-07-01,2021,1488,0.5766129032258065,0.24327895038404257
4,LogReg,2021-09-01,2021,1464,0.5211748633879781,0.069960376767958
4,GBoost,2021-09-01,2021,1464,0.5163934426229508,0.05305931531203587
16,LogReg,2021-09-01,2021,1464,0.5471311475409836,0.09421021823587318
16,GBoost,2021-09-01,2021,1464,0.5163934426229508,0.056604220876363825
24,LogReg,2021-09-01,2021,1464,0.5915300546448088,0.12158715993187115
24,GBoost,2021-09-01,2021,1464,0.5457650273224044,0.086897169546604
48,LogReg,2021-09-01,2021,1464,0.6140710382513661,0.10245511176282186
48,GBoost,2021-09-01,2021,1464,0.5512295081967213,0.1374576911485571
4,LogReg,2021-11-01,2021,1464,0.532103825136612,0.03175633328856532
4,GBoost,2021-11-01,2021,1464,0.5409836065573771,0.07540390814832654
16,LogReg,2021-11-01,2021,1464,0.5478142076502732,0.11873828682647401
16,GBoost,2021-11-01,2021,1464,0.5191256830601093,0.051601137329147104
24,LogReg,2021-11-01,2021,1464,0.5471311475409836,0.13139787712813578
24,GBoost,2021-11-01,2021,1464,0.5095628415300546,0.016689445223006437
48,LogReg,2021-11-01,2021,1464,0.5765027322404371,0.06858643191444312
48,GBoost,2021-11-01,2021,1464,0.5362021857923497,0.05226671446778054
4,LogReg,2022-01-01,2022,1416,0.527542372881356,0.06875602890051079
4,GBoost,2022-01-01,2022,1416,0.5254237288135594,0.06617807301503718
16,LogReg,2022-01-01,2022,1416,0.5953389830508474,0.24451310868941023
16,GBoost,2022-01-01,2022,1416,0.5550847457627118,0.14879024816269132
24,LogReg,2022-01-01,2022,1416,0.614406779661017,0.25633076256376697
24,GBoost,2022-01-01,2022,1416,0.5748587570621468,0.19202373108448187
48,LogReg,2022-01-01,2022,1416,0.5741525423728814,0.1815940472121768
48,GBoost,2022-01-01,2022,1416,0.5988700564971752,0.23769926642997435
4,LogReg,2022-03-01,2022,1464,0.5307377049180327,0.08986991841538854
4,GBoost,2022-03-01,2022,1464,0.5280054644808743,0.09046601433711919
16,LogReg,2022-03-01,2022,1464,0.5225409836065574,0.07065078849674793
16,GBoost,2022-03-01,2022,1464,0.5860655737704918,0.21109313049038422
24,LogReg,2022-03-01,2022,1464,0.505464480874317,0.04908860528322013
24,GBoost,2022-03-01,2022,1464,0.5799180327868853,0.1949011590742569
48,LogReg,2022-03-01,2022,1464,0.5368852459016393,0.06009158304542608
48,GBoost,2022-03-01,2022,1464,0.549863387978142,0.036785943438300356
4,LogReg,2022-05-01,2022,1464,0.5423497267759563,0.10787225623204946
4,GBoost,2022-05-01,2022,1464,0.5614754098360656,0.13584508517324312
16,LogReg,2022-05-01,2022,1464,0.505464480874317,0.043582061580993856
16,GBoost,2022-05-01,2022,1464,0.5095628415300546,0.011146518074093526
24,LogReg,2022-05-01,2022,1464,0.5191256830601093,0.02394162945352861
24,GBoost,2022-05-01,2022,1464,0.5006830601092896,-0.08448424808157304
48,LogReg,2022-05-01,2022,1464,0.549863387978142,0.05199616343182322
48,GBoost,2022-05-01,2022,1464,0.51775956284153,-0.14923176528968013
4,LogReg,2022-07-01,2022,1488,0.5470430107526881,0.1150434736660741
4,GBoost,2022-07-01,2022,1488,0.5450268817204301,0.10841111053119198
16,LogReg,2022-07-01,2022,1488,0.5772849462365591,0.15776602415855712
16,GBoost,2022-07-01,2022,1488,0.5793010752688172,0.14164814174182933
